lat,lon,dominant_class,wooded_frac,cleared_frac,water_frac,n_px
37.350133,-86.162577,cleared,0.0,1.0,0.0,701
37.350133,-86.161958,cleared,0.0,0.871,0.129,572
37.350132,-86.160721,cleared,0.0,1.0,0.0,712
37.350132,-86.160102,cleared,0.0,1.0,0.0,729
37.350132,-86.159484,cleared,0.0,1.0,0.0,729
37.350132,-86.158865,cleared,0.0,1.0,0.0,729
37.350132,-86.158246,cleared,0.0,1.0,0.0,729
37.350132,-86.157628,cleared,0.0,1.0,0.0,729
37.350131,-86.157009,cleared,0.0,1.0,0.0,674
37.350131,-86.155772,cleared,0.0,0.966,0.034,704
37.350128,-86.145256,wooded,1.0,0.0,0.0,507
37.349639,-86.213303,cleared,0.0,0.965,0.035,575
37.349639,-86.212684,cleared,0.0,0.993,0.007,722
37.349639,-86.212066,cleared,0.0,1.0,0.0,729
37.349639,-86.211447,wooded,0.552,0.448,0.0,525
37.34964,-86.167526,cleared,0.469,0.531,0.0,682
37.34964,-86.166907,cleared,0.0,1.0,0.0,729
37.34964,-86.166289,cleared,0.0,1.0,0.0,600
37.349639,-86.16567,cleared,0.0,1.0,0.0,690
37.349639,-86.163814,cleared,0.0,1.0,0.0,603
37.349639,-86.163196,cleared,0.0,1.0,0.0,725
37.349639,-86.162577,cleared,0.0,1.0,0.0,729
37.349639,-86.161958,cleared,0.0,1.0,0.0,676
37.349638,-86.160721,cleared,0.0,0.983,0.017,643
37.349638,-86.160103,cleared,0.0,1.0,0.0,729
37.349638,-86.159484,cleared,0.0,1.0,0.0,729
37.349638,-86.158865,cleared,0.0,1.0,0.0,729
37.349638,-86.158247,cleared,0.0,1.0,0.0,729
37.349638,-86.157628,cleared,0.0,1.0,0.0,729
37.349638,-86.157009,cleared,0.0,1.0,0.0,729
37.349637,-86.155154,cleared,0.004,0.996,0.0,679
37.349636,-86.152679,wooded,0.985,0.0,0.015,388
37.349635,-86.148349,cleared,0.0,1.0,0.0,635
37.349635,-86.14773,cleared,0.0,0.946,0.054,579
37.349634,-86.146493,cleared,0.0,0.975,0.025,649
37.349145,-86.21454,cleared,0.009,0.977,0.014,439
37.349145,-86.213921,cleared,0.0,0.949,0.051,394
37.349145,-86.212684,cleared,0.0,1.0,0.0,729
37.349145,-86.212066,cleared,0.0,1.0,0.0,729
37.349145,-86.211447,cleared,0.246,0.735,0.019,578
37.349145,-86.210828,cleared,0.096,0.904,0.0,565
37.349146,-86.167526,wooded,0.631,0.369,0.0,666
37.349146,-86.166907,cleared,0.0,1.0,0.0,615
37.349146,-86.16567,cleared,0.0,1.0,0.0,647
37.349146,-86.165052,cleared,0.0,1.0,0.0,331
37.349145,-86.164433,cleared,0.0,0.931,0.069,627
37.349145,-86.163814,cleared,0.0,1.0,0.0,642
37.349145,-86.163196,cleared,0.0,1.0,0.0,729
37.349145,-86.162577,cleared,0.0,1.0,0.0,729
37.349145,-86.161959,cleared,0.0,1.0,0.0,729
37.349144,-86.160103,cleared,0.0,1.0,0.0,727
37.349144,-86.159484,cleared,0.0,1.0,0.0,729
37.349144,-86.158865,cleared,0.0,1.0,0.0,729
37.349144,-86.158247,cleared,0.0,1.0,0.0,729
37.349144,-86.157628,cleared,0.0,1.0,0.0,729
37.349144,-86.15701,cleared,0.0,1.0,0.0,729
37.349143,-86.155154,cleared,0.0,0.751,0.249,688
37.349143,-86.154535,cleared,0.0,0.967,0.033,612
37.349143,-86.153917,cleared,0.416,0.489,0.095,462
37.349141,-86.148349,cleared,0.0,1.0,0.0,729
37.348651,-86.213303,cleared,0.0,1.0,0.0,567
37.348651,-86.212684,cleared,0.0,1.0,0.0,664
37.348651,-86.212065,cleared,0.0,1.0,0.0,729
37.348651,-86.211447,cleared,0.0,0.958,0.042,625
37.348651,-86.210828,cleared,0.003,0.997,0.0,598
37.348652,-86.21021,cleared,0.472,0.528,0.0,600
37.348652,-86.208354,cleared,0.124,0.876,0.0,468
37.348652,-86.167526,wooded,0.817,0.183,0.0,564
37.348652,-86.166907,cleared,0.0,1.0,0.0,620
37.348652,-86.166289,cleared,0.0,1.0,0.0,672
37.348652,-86.165052,cleared,0.0,0.952,0.048,524
37.348651,-86.163814,cleared,0.0,1.0,0.0,725
37.348651,-86.163196,cleared,0.0,1.0,0.0,729
37.348651,-86.162577,cleared,0.0,1.0,0.0,729
37.348651,-86.161959,cleared,0.0,1.0,0.0,729
37.348651,-86.16134,cleared,0.0,1.0,0.0,641
37.348651,-86.160103,cleared,0.0,0.928,0.072,609
37.34865,-86.159484,cleared,0.0,1.0,0.0,729
37.34865,-86.158866,cleared,0.0,1.0,0.0,729
37.34865,-86.158247,cleared,0.0,1.0,0.0,729
37.34865,-86.157628,cleared,0.0,1.0,0.0,711
37.34865,-86.15701,cleared,0.0,1.0,0.0,673
37.34865,-86.156391,cleared,0.0,1.0,0.0,729
37.348649,-86.153917,cleared,0.045,0.955,0.0,467
37.348647,-86.148349,cleared,0.0,1.0,0.0,729
37.348647,-86.147112,cleared,0.0,1.0,0.0,660
37.348646,-86.145875,cleared,0.0,0.676,0.324,497
37.348646,-86.144638,cleared,0.284,0.716,0.0,539
37.34864,-86.129791,cleared,0.025,0.95,0.025,476
37.348157,-86.212684,cleared,0.0,1.0,0.0,606
37.348157,-86.212065,cleared,0.0,1.0,0.0,729
37.348157,-86.211447,cleared,0.0,0.945,0.055,649
37.348158,-86.210828,cleared,0.0,1.0,0.0,729
37.348158,-86.210209,wooded,0.668,0.332,0.0,588
37.348158,-86.209591,wooded,0.517,0.483,0.0,478
37.348159,-86.173712,wooded,0.604,0.396,0.0,460
37.348159,-86.172475,cleared,0.0,1.0,0.0,592
37.348159,-86.171856,cleared,0.46,0.54,0.0,478
37.348158,-86.166289,cleared,0.0,1.0,0.0,404
37.348158,-86.16567,cleared,0.0,1.0,0.0,428
37.348158,-86.164433,cleared,0.0,1.0,0.0,714
37.348158,-86.163815,cleared,0.0,1.0,0.0,729
37.348157,-86.163196,cleared,0.29,0.71,0.0,670
37.348157,-86.162577,wooded,0.692,0.308,0.0,477
37.348157,-86.161959,cleared,0.1,0.9,0.0,602
37.348157,-86.16134,cleared,0.0,1.0,0.0,716
37.348157,-86.160722,cleared,0.0,0.727,0.273,597
37.348157,-86.159484,cleared,0.0,1.0,0.0,729
37.348156,-86.158866,cleared,0.0,1.0,0.0,729
37.348156,-86.158247,cleared,0.0,1.0,0.0,729
37.348156,-86.156391,cleared,0.0,1.0,0.0,614
37.348155,-86.153917,cleared,0.0,0.997,0.003,576
37.348154,-86.150205,wooded,1.0,0.0,0.0,388
37.348154,-86.149587,cleared,0.156,0.44,0.404,500
37.348153,-86.14835,cleared,0.0,1.0,0.0,691
37.348153,-86.147731,cleared,0.0,1.0,0.0,634
37.348153,-86.146494,cleared,0.0,0.993,0.007,608
37.348153,-86.145875,cleared,0.0,0.595,0.405,476
37.348152,-86.145257,cleared,0.0,0.738,0.262,614
37.348152,-86.144638,cleared,0.0,1.0,0.0,651
37.347664,-86.212065,cleared,0.0,1.0,0.0,654
37.347664,-86.211446,cleared,0.0,0.912,0.088,668
37.347664,-86.210828,cleared,0.0,1.0,0.0,729
37.347664,-86.210209,cleared,0.0,1.0,0.0,717
37.347665,-86.170619,wooded,1.0,0.0,0.0,576
37.347664,-86.166908,cleared,0.0,1.0,0.0,679
37.347664,-86.166289,cleared,0.0,0.992,0.008,531
37.347664,-86.165671,cleared,0.0,0.967,0.033,489
